Zone_Number,Latitude,Longitude,slot_0,slot_1,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_2,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_3,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_4,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_5,slot_6,slot_7,slot_8,slot_9
7418,-37.8198220333,144.9556206067,,,,,1.0,,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7423,-37.8145769182,144.9734249455,,,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
7425,-37.81915733,144.958057615,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7428,-37.8146281,144.9733033,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7431,-37.8156456,144.9698242,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7434,-37.818594175,144.9634217125,1.0,,,,,,,,,,,,,,,,0.0,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7436,-37.8163431909,144.9715370091,,,,,,,,,,,0.0,,,,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7438,-37.8208519375,144.9563705375,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,-37.8162389,144.97188739999999,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7450,-37.8172182,144.9649522167,,,,,,,,,,,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
7451,-37.8168840182,144.9685204682,,,,,,,,,,,,,,,,,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
